h1,h2,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing,total
15,15,0.868421052631579,0.9119999999999999,0.8461538461538461,0.6956521739130436,0.7045454545454545,0.64,0.7999999999999999,0.890909090909091,0.82,0.7111111111111111,0.9435897435897438,0.8518518518518519,0.925,0.8129870129870129,0.6,0.6,0.8144420131291028
15,17,0.8842105263157893,0.8719999999999999,0.7923076923076924,0.7391304347826088,0.7227272727272728,0.6799999999999999,0.6666666666666667,0.9818181818181818,0.86,0.7288888888888889,0.9025641025641026,0.9259259259259259,0.89375,0.8259740259740258,0.9333333333333333,0.75,0.8227571115973742
15,19,0.8631578947368421,0.8440000000000001,0.8692307692307694,0.7130434782608696,0.7363636363636363,0.5840000000000001,0.7999999999999999,0.8545454545454547,0.74,0.7244444444444444,0.9333333333333333,0.8666666666666666,0.9625,0.8129870129870129,0.8666666666666666,0.45,0.8105032822757112
15,21,0.9,0.8400000000000001,0.9,0.7304347826086957,0.7181818181818181,0.7280000000000001,0.9333333333333332,0.8545454545454547,0.9,0.7644444444444444,0.9435897435897436,0.8740740740740742,0.93125,0.8441558441558442,0.8666666666666666,0.65,0.8363238512035011
15,23,0.8881578947368421,0.9349999999999999,0.826923076923077,0.7282608695652175,0.6761363636363636,0.73,0.6666666666666666,0.8636363636363638,0.75,0.7388888888888889,0.9038461538461539,0.8796296296296295,0.8515625,0.8246753246753247,0.8333333333333333,0.5,0.8167396061269148
15,25,0.8,0.852,0.9076923076923078,0.6956521739130436,0.7045454545454547,0.7280000000000001,0.8666666666666666,0.8727272727272727,0.8800000000000001,0.7288888888888889,0.917948717948718,0.8,0.9125,0.8623376623376624,0.7999999999999999,0.75,0.8183807439824946
15,27,0.9105263157894736,0.884,0.8692307692307694,0.7826086956521738,0.7272727272727272,0.632,0.9333333333333332,0.890909090909091,0.8400000000000001,0.7777777777777779,0.9128205128205129,0.8814814814814815,0.93125,0.8545454545454547,0.7333333333333333,0.6,0.837636761487965
15,29,0.8736842105263157,0.8800000000000001,0.7846153846153847,0.808695652173913,0.6818181818181819,0.656,0.8666666666666666,0.9454545454545455,0.8400000000000001,0.7422222222222222,0.9589743589743591,0.8814814814814815,0.93125,0.8181818181818181,0.5333333333333333,0.7,0.8223194748358862
15,31,0.868421052631579,0.908,0.8846153846153847,0.7913043478260869,0.6909090909090909,0.672,0.5999999999999999,0.9454545454545455,0.8400000000000001,0.711111111111111,0.9384615384615385,0.837037037037037,0.90625,0.8467532467532466,0.8666666666666666,0.8,0.8284463894967177
15,33,0.8842105263157893,0.892,0.8076923076923077,0.7565217391304347,0.7045454545454545,0.68,0.8666666666666666,0.8727272727272728,0.86,0.7733333333333333,0.9384615384615385,0.8592592592592592,0.91875,0.8285714285714285,0.8,0.55,0.8266958424507658
